name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Godrej & Boyce M...,3.9,(2.5k Reviews),Private,"Mumbai,Maharashtra + 121 more",125 years old,10k-50k Employees (India)
L&T Construction,4.2,(3.4k Reviews),Public,Chennai + 253 more,78 years old,10k-50k Employees (India)
BNY Mellon,4.2,(2.5k Reviews),Private,"New York City,New York + 9 more",18 years old,10k-50k Employees (India)
Omega Healthcare,3.8,(2.5k Reviews),Private,Florida + 26 more,18 years old,1k-5k Employees (India)
Fullerton India,4.2,(2.4k Reviews),Private,Mumbai + 389 more,15 years old,10k-50k Employees (India)
SBI Cards & Paym...,3.8,(2.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 229 more",24 years old,5k-10k Employees (India)
Cgi Group,4.2,(2.5k Reviews),Private,"Montreal,Quebec + 13 more",31 years old,10k-50k Employees (India)
UnitedHealth,4.2,(4.3k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India)
Aditya Birla Fas...,4.3,(2.8k Reviews),Private,Mumbai + 194 more,7 years old,10k-50k Employees (India)
Manappuram Finan...,4.0,(3.1k Reviews),Public,"Thrissur/Trichur,Kerala + 360 more",73 years old,10k-50k Employees (India)
D Mart,4.0,(2.3k Reviews),Private,"Mumbai,Maharashtra + 150 more",22 years old,5k-10k Employees (India)
IQVIA,4.2,(2.3k Reviews),Partnership,Durham + 38 more,40 years old,10k-50k Employees (India)
Axis Direct,4.0,(2.3k Reviews),Private,"San Mateo,California + 265 more",11 years old,1k-5k Employees (India)
Dominos Pizza,4.1,(2.3k Reviews),Public,"Ypsilanti,Michigan + 197 more",62 years old,1k-5k Employees (India)
Nagarjuna Constr...,4.2,(2.4k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 176 more",24 years old,1k-5k Employees (India)
Wipro Consumer ...,3.8,(2.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 70 more",77 years old,1k-5k Employees (India)
CBRE,4.3,(2.3k Reviews),Private,"Los Angeles,California + 51 more",116 years old,10k-50k Employees (India)
Equitas Small Fi...,4.2,(2.3k Reviews),Private,"Chennai,Tamil Nadu + 285 more",15 years old,1k-5k Employees (India)
Royal Enfield,4.2,(2.3k Reviews),Private,"Gurgaon/Gurugram,Haryana + 227 more",67 years old,5k-10k Employees (India)
State Bank of In...,3.9,(2.2k Reviews),"Mumbai,Maharashtra + 332 more",216 years old,1 Lakh+ Employees (India),
JBM Group,4.1,(2.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 72 more",39 years old,1k-5k Employees (India)
Nagarro,4.6,(2.2k Reviews),Private,"Munich,Bavaria + 29 more",26 years old,5k-10k Employees (India)
